date,open,high,low,close,volume,Sentiment
2/2/2018,302.9,305.75,295.5,297.35,23274673,0
2/5/2018,292.65,300.4,290,298.05,18940578,0
2/6/2018,285,297.3,282.9,291.75,30577218,-1
2/7/2018,296.6,297.9,290,292.8,21463818,0
2/8/2018,292.9,303.3,292.55,301.4,18932796,0
2/9/2018,297,300.6,295,296.4,15750824,1
2/12/2018,288.25,292.4,285.15,288.75,50839665,0
2/14/2018,288.7,288.7,275,276.2,45641149,0
2/15/2018,274.8,282.3,274.25,278.7,26058237,0
2/16/2018,280.5,281.2,270.05,271.65,30338112,0
2/19/2018,271.5,272,256.65,268.5,43847791,0
2/20/2018,269,274.2,264.8,269.65,33458021,0
2/21/2018,272.2,274.1,267.4,273.3,23714454,-1
2/22/2018,270.4,273.6,269.45,272.6,25584062,0
2/23/2018,273.45,277.2,272.5,276.05,15482147,0
2/26/2018,280,280,273.85,274.45,15306032,0
2/27/2018,273,275.9,265.95,267.6,20824909,1
2/28/2018,264.25,269.7,260.8,268,26810799,0
3/1/2018,266.3,270,261.25,262.15,22859175,0
3/5/2018,260.45,265,258.75,263.5,18484565,0
3/6/2018,265.85,266,255,256.55,20778164,0
3/7/2018,255.05,255.35,246.05,246.65,31262500,0
3/8/2018,247,257.95,244.3,256.8,33133336,1
3/9/2018,257,257.4,251.65,253.25,21536191,1
3/12/2018,254.1,255.25,247.25,252.85,25332474,0
3/13/2018,251.3,262.4,249.6,254.7,37647221,0
3/14/2018,252.5,257.85,250,257.05,25471485,0
3/15/2018,257,258.8,252.55,253.7,18339890,0
3/16/2018,250.65,255.7,250.1,252.3,25728297,0
3/19/2018,252.9,253.6,246.1,247.95,18167594,0
3/20/2018,246.85,252.25,245.35,249.1,20556571,-1
3/21/2018,251.75,254.3,247.1,248,19533972,1
3/22/2018,247,247.35,240.65,241.55,26828240,0
3/23/2018,237.8,239.65,232.35,234.8,27150262,0
3/26/2018,234.75,247.85,234.25,246.5,30373940,0
3/27/2018,250,255.5,248,254.35,31205051,0
3/28/2018,252,256.2,248.7,249.9,36673566,1
4/2/2018,251.8,252,244.9,246.15,14993188,0
4/3/2018,249.55,252.8,248.25,250.5,19883309,0
4/4/2018,251.7,253,245.5,247.3,18824449,0
4/5/2018,252.6,261.9,250,259.3,22880821,0
4/6/2018,259.65,261.45,254.85,259.7,24868860,0
4/9/2018,260.65,262.75,257.6,260.65,20208874,0
4/10/2018,261.1,265,258.5,263.3,21201141,0
4/11/2018,263,263,256.3,257.05,14885838,1
4/12/2018,257.5,257.5,252.25,253.8,18660913,0
4/13/2018,254,255.95,249.7,250.95,25654020,1
4/16/2018,249.35,251.3,247.1,249,16408377,0
4/17/2018,251.4,252.5,246.6,248.15,15922452,0
4/18/2018,249.5,249.9,245.3,246.45,16142387,0
4/19/2018,247.1,248.45,245.2,246.15,13166927,0
4/20/2018,245.85,245.85,239.5,241.2,15546939,0
4/23/2018,241.9,244.85,239.3,242.45,12111837,0
4/24/2018,242,243.4,239.6,240.6,9486349,0
4/25/2018,239.7,240.75,236.75,237.2,13124853,0
4/26/2018,238.4,238.8,232.5,233.2,24495144,0
4/27/2018,233.25,245.8,233.25,242.6,31401889,0
